Name,PriceGetir
İftar Menüsü 1,360.00
İftar Menüsü 2,380.00
İftar Menüsü 3,500.00
İftar Menüsü 4,530.00
2 Al 1 Öde,249.00
Junior Menu,249.00
Classic Menu,254.00
Maxi Menu,274.00
Mega Menu,294.00
SD Small Menu,224.00
SD Medium Menu,229.00
SD Big Menu,269.00
SD Biggest Menu,284.00
Getir Yemek Özel Menü 1,279.00
Taco Keyfi,289.00
Taco Delisi,389.00
Tavuk Döner,254.00
Pilav Üstü Tavuk Döner,264.00
Double Classic Menu,369.00
Double King Menu,419.00
Small Roll,219.00
Medium Roll,224.00
Big Roll,259.00
Biggest Roll,274.00
Chicken Sandwich,224.00
Potato Sandwich,110.00
Cheese Potato Sandwich,145.00
Taco,194.00
Tavuk Döner,309.00
Tavuk Döner,379.00
Tavuk Döner,529.00
Medium Vegetarian Roll,105.00
Big Vejetarian Roll,120.00
Medium Vegan Roll,105.00
Big Vegan Roll,120.00
Puding,40.00
Sütlaç,40.00
Profiterol,50.00
Keşkül,30.00
Kazandibi,40.00
Ranch Sos,10.00
Bbq Sos,10.00
Sarımsaklı Mayonez,10.00
Acı Sos,10.00
Pepsi,60.00
Pepsi Zero Sugar,60.00
Lipton Ice Tea,60.00
Tropicana,60.00
Ayran,35.00
Ayran,30.00
Soda,30.00
Su,15.00
Şalgam Suyu,40.00
Pepsi,90.00
Pepsi Max,90.00
Yedigün,90.00
Yedigün,60.00
Ayran,90.00
Coca Cola,65.00
