food,Yemeksepeti
Öncü Zurna Tavuk Döner Dürüm (120 gr.),175.99
Avantajlı Öncü Zurna Tavuk Döner Dürüm Menü,228
Tavuk Döner Dürüm (80 gr.),143.99
Combo Öncü Zurna Tavuk Döner Dürüm Menü,248
Tavuk Döner Öncü Zurna Dürüm Menü,215.99
Avantajlı Tavuk Döner Dürüm Menü,212
Tavuk Döner Öncü Zurna Dürüm Menü,215.99
Tavuk Döner Haftası Menüsü,167.99
Avantajlı Tavuk Döner Dürüm Menü,212
Kazandıran Menü,400
Combo Öncü Zurna Tavuk Döner Dürüm Menü,248
Combo Tavuk Döner Dürüm Menü,228
Avantajlı Öncü Zurna Tavuk Döner Dürüm Menü,228
İkili Menü,360
Tavuk Döner Dürüm (80 gr.),143.99
Öncü Zurna Tavuk Döner Dürüm (120 gr.),175.99
Tavuk Döner (140 gr.),215.99
Patates Kızartması (100 gr.),39.92
Çikolatalı Puding,31.92
Ketçap,7.92
Mayonez,7.92
Pepsi (33 cl.),56
Pepsi Zero Sugar (33 cl.),39.92
Yedigün (33 cl.),56
Lipton Ice Tea (33 cl.),56
"Sütaş Ayran (27,5 cl.)",36
Meyveli Soda (20 cl.),19.92
Maden Suyu (20 cl.),19.92
Su (50 cl.),10.32
Pepsi (1 L.),63.99
Tropicana (33 cl.),39.92
7UP (33 cl.),56
