Name,PriceYemek,PriceGetir,MigrosYemek
2 Al 1 Öde,,249.0,0
Acı Sos,,10.0,0
Ayran,,35.0,0
Ayran,,30.0,0
Ayran,,90.0,0
Bbq Sos,,10.0,0
Big Roll,,259.0,0
Big Vegan Roll,,120.0,0
Big Vejetarian Roll,,120.0,0
Biggest Roll,,274.0,0
Cheese Potato Sandwich,,145.0,0
Chicken Sandwich,,224.0,0
Classic Menu,,254.0,0
Coca Cola,,65.0,0
Double Classic Menu,,369.0,0
Double King Menu,,419.0,0
Getir Yemek Özel Menü 1,,279.0,0
Junior Menu,,249.0,0
Kazandibi,,40.0,0
Keşkül,,30.0,0
Lipton Ice Tea,,60.0,0
Maxi Menu,,274.0,0
Medium Roll,,224.0,0
Medium Vegan Roll,,105.0,0
Medium Vegetarian Roll,,105.0,0
Mega Menu,,294.0,0
Pepsi,,60.0,0
Pepsi,,90.0,0
Pepsi Max,,90.0,0
Pepsi Zero Sugar,,60.0,0
Pilav Üstü Tavuk Döner,,264.0,0
Potato Sandwich,,110.0,0
Profiterol,,50.0,0
Puding,,40.0,0
Ranch Sos,,10.0,0
SD Big Menu,,269.0,0
SD Biggest Menu,,284.0,0
SD Medium Menu,,229.0,0
SD Small Menu,,224.0,0
Sarımsaklı Mayonez,,10.0,0
Small Roll,,219.0,0
Soda,,30.0,0
Su,,15.0,0
Sütlaç,,40.0,0
Taco,,194.0,0
Taco Delisi,,389.0,0
Taco Keyfi,,289.0,0
Tavuk Döner,,254.0,0
Tavuk Döner,,309.0,0
Tavuk Döner,,379.0,0
Tavuk Döner,,529.0,0
Tropicana,,60.0,0
Yedigün,,90.0,0
Yedigün,,60.0,0
İftar Menüsü 1,,360.0,0
İftar Menüsü 2,,380.0,0
İftar Menüsü 3,,500.0,0
İftar Menüsü 4,,530.0,0
Şalgam Suyu,,40.0,0
